bci_index,word,verdict,description,best_choice,confidence,match_name,match_set,image_url
12343,advance,UNCLEAR,Two people walking with backpacks on a path.,walk,high,to go 3,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20go_3.png
12355,aid,PASS,A hearing aid device with a curved orange body,assistive,high,hearing aid,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/hearing%20aid.png
12357,airplane,PASS,A simple line drawing of an airplane from above.,airplane,high,Airplane,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Airplane-0496ef43b2.svg
12369,ambulance,PASS,A simple drawing of a white ambulance vehicle.,ambulance,high,ambulance,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/ambulance.png
12383,cat,PASS,A grey cartoon cat lying down on its belly.,cat,high,cat,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/cat.png
12403,apartment,FAIL,A simple house with red roof and brown door.,house,high,apartment,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/apartment.png
12405,apple,PASS,A green apple with a brown stem attached.,apple,high,apple,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/apple.png
12598,autumn,PASS,A leaf and clock in a bubble.,autumn,high,autumn,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/autumn_612_g.svg
12600,avocado,PASS,A halved avocado with pit and brown skin visible.,avocado,high,avocado,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/avocado.png
12603,baby,PASS,A cartoon baby wearing a pacifier.,baby,high,baby,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/baby.png.varianted-skin.png
12605,baby_carriage,PASS,A person pushing a stroller with large wheels.,baby carriage,high,Stroller,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Stroller-5ab0fd9387.svg
12622,balloon,PASS,A colorful hot air balloon with many horizontal stripes.,hot air balloon,high,balloon,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/balloon.png
12626,bank,PASS,A building with columns and a dollar sign on top.,bank,high,Bank,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Bank-3efc3488a8.svg
12630,barn,PASS,A cow and a barn with feeding trough.,farm,high,stable,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/stable.png
12634,basketball,PASS,A black and white outline of a basketball.,basketball,high,Basketball,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Basketball-0260361047.svg
12643,bear,PASS,A simple cartoon drawing of a brown bear.,bear,high,bear,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/bear.png
12662,bell,PASS,A simple line drawing of a bell icon.,bell,high,Bell,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Bell-57a17509fc.svg
12834,bicycle,PASS,A simple drawing of a child's red bicycle.,bicycle,high,bicycle,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/bicycle.png
12837,bird,PASS,A simple cartoon drawing of a small bird.,bird,high,bird,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/bird.png
12869,boat,PASS,A cartoon-style boat with red hull and green deck.,boat,high,boat,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/boat.png
12875,book,PASS,A cartoon-style illustration of a closed book.,book,high,book,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/book.png
13114,can,FAIL,A jar of pickles with two pickles beside it.,container,high,can,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/can.png
13132,caterpillar,PASS,A caterpillar and its chrysalis on a branch shown.,larval,high,caterpillar,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/caterpillar.png
13364,close,UNCLEAR,A red circle with two intersecting lines.,seal,high,close,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/close.png
13374,coin,PASS,A dollar sign inside a circle with stars.,coin,high,Coin,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Coin-d5f3fed0b9.svg
13403,container,PASS,A yellow wheeled bin with recycling symbols on it.,container,high,container,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/container.png
13409,cookie,PASS,A partially eaten chocolate chip cookie with many dots.,cookie,high,cookie,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Cookie-56d936cd78.svg
13670,diaper,PASS,A simple line drawing of a diaper with flower.,diaper,high,diaper,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/diaper_103_679999.svg
13689,discussion,UNCLEAR,Two people with a speech bubble between them.,conversation,high,discussion,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/discussion_377_382066.svg
13860,do,PASS,Two men in suits holding hands smiling together.,do,high,act,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/act.png.varianted-skin.png
13913,eggplant,PASS,A simple line drawing of an eggplant vegetable.,eggplant,high,Eggplant,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Eggplant_368_g.svg
13924,elevator,FAIL,A person between curved arrows pointing up and down.,escalator,high,Elevator,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Elevator-b9fb511ae4.svg
13935,end,PASS,A black arrow pointing right towards a vertical line.,end,high,end,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/end.png
13943,equal,PASS,A male and female police officer are equally depicted.,equal,high,equal opportunity,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/equal%20opportunity.png.varianted-skin.png
14133,eye,PASS,A cartoon drawing of a green human eye,eye,high,eye,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/eye.png.varianted-skin.png
14196,flashlight,PASS,A simple line drawing of a flashlight.,flashlight,high,Flashlight,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Flashlight_840_g.svg
14380,football,PASS,A simple black illustration of an American football.,football,high,Football,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Football-297bf19b79.svg
14425,gasoline,PASS,A black jerrycan with a white hazard symbol.,gasoline,high,Gasoline,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Gasoline-af0670bd6f.svg
14435,get,UNCLEAR,Two people passing a red ball between them.,receive,high,to receive,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20receive.png.varianted-skin.png
14625,grain,PASS,Two wheat stalks with piles of grain beside them.,grain,high,grain,sclera,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/grain.png
14704,help,PASS,A person drowning or in distress in water suddenly.,help,high,help,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/help_510_g.svg
14905,house,PASS,A simple cartoon house with red roof and chimney.,house,high,house,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/house.png
14965,jam,PASS,A jar of red jam with two strawberries inside.,jam,high,jam,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/jam.png
15198,letter,PASS,A document or paper with lines and folded corner.,letter,high,Letter,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Letter-0e065a7e91.svg
15210,like,UNCLEAR,A cartoon baby's face with tongue out in surprise.,enjoy,medium,to like,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20like.png.varianted-skin.png
15227,lock,PASS,A gray rectangle with a yellow keyhole icon inside,lock,high,lock,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/lock.png
15409,mailbox,PASS,A simple drawing of a mailbox with flag raised.,mailbox,high,mailbox,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/mailbox_437_g.svg
15410,make,PASS,Hands placing balls on green pedestals in a factory.,make,high,manufacture,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/manufacture.png
15663,mountain,PASS,A large gray rocky mountain on green grassy land,mountain,high,mountain,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/mountain.png
15733,not,UNCLEAR,"A large red ""X"" over a black circle.",negation,high,without,tawasol,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/without.jpg
15739,nuclear_fallout,PASS,A stylized atom with orbiting electrons and a nucleus.,nuclear,high,Nuclear,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Nuclear-a10436d38c.svg
15961,pants,PASS,A simple line drawing of a pair of pants.,pants,high,pants,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/pants_70_g.svg
15989,peel,PASS,Hand peeling an orange with a knife.,peel,high,peel,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/peel.png.varianted-skin.png
16169,photograph,UNCLEAR,A framed image of buildings on a hill.,picture,high,Photograph,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Photograph_155_g.svg
16172,picture,PASS,A simple landscape with sun and two mountains.,picture,high,Picture,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Picture-abf86f3f72.svg
16219,pool,PASS,A rectangular swimming pool with lanes and ladders shown.,pool,high,swimming pool,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/swimming%20pool.png
16440,put,FAIL,Woman putting laundry into washing machine from basket.,remove,high,put,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/put.png.varianted-skin.png
16485,remember,UNCLEAR,A 32GB SD card with a warning symbol.,memory,high,memory,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/memory.png
16696,rug,PASS,A red and yellow decorative rug with tassels.,rug,high,carpet,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/carpet.png
16699,run,PASS,A cartoon boy running with a surprised expression.,run,high,run,language-craft,https://d18vdu4p71yql0.cloudfront.net/libraries/language-craft/run.png
16701,sack,PASS,A green and gray sleeping bag or sack illustration,pouch,high,sack,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sack.png
16702,sad,PASS,A cartoon face with a frowning expression and yellow hair.,sad,high,sad,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sad.png.varianted-skin.png
16747,see,FAIL,A person sitting and watching television.,look,high,to see,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20see.png
16756,sell,PASS,A storefront with a door and awning is shown.,sell,high,shop,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/shop.png
17249,stand,PASS,Man standing then sitting down in a chair.,stand,medium,stand,tawasol,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/stand.jpg
17781,truck,PASS,A simple black silhouette of a pickup truck vehicle.,truck,high,Truck,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Truck-5fb6dd6d4f.svg
18011,video_recorder,PASS,A grey video camera with a blue screen and lens.,video recorder,high,video camera,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/video%20camera.png
18031,walk,UNCLEAR,A baby being supported under the arms.,move,high,walk,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/walk.png.varianted-skin.png
18035,want,UNCLEAR,A hand reaching for a red ball in air.,desire,high,to want,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20want.png.varianted-skin.png
18043,waste,PASS,Leaking yellow liquid from a barrel onto the ground,waste,high,waste,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/waste.png
18210,we,FAIL,Two cartoon women pointing to themselves with smiles.,you,high,we,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/we.png.varianted-skin.png
18228,what,UNCLEAR,A man and woman in traditional Middle Eastern clothing converse.,question,high,Ask,tawasol,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Ask.png
18298,you,UNCLEAR,A smiling bald man pointing at the viewer.,person,high,you,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/you.png.varianted-skin.png
21880,wave,PASS,A large blue wave crashing with white foam.,wave,high,wave,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/wave.png
22376,candy,PASS,Various colorful candies and a lollipop are shown here.,candy,high,sweets,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sweets.png
23165,peer,UNCLEAR,Two human figures standing side by side.,equal,high,Friends,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Friends-01b697c5bf.svg
23470,desktop_computer,PASS,A computer monitor with a blue screen and keyboard.,desktop computer,high,desktop computer,twemoji,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f5a5.svg
23500,file,PASS,Hands using a red nail file back and forth.,nail file,high,file,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/file.png.varianted-skin.png
23511,folder,FAIL,A yellow rectangular object with black outline and ties,file,high,folder,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/folder.png
23663,siren_of_the_woods,PASS,A cartoon mermaid with purple hair and green tail.,siren,high,siren,language-craft,https://d18vdu4p71yql0.cloudfront.net/libraries/language-craft/siren.png
24036,bomb,PASS,A cartoon bomb with pin and fuse.,bomb,high,Bomb,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Bomb-15f0ad5370.svg
24209,pavement,UNCLEAR,A gray grid-patterned surface with a raised edge.,paved,high,pavement,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/pavement.png
24416,binoculars,PASS,A pair of large binoculars or viewing device.,binoculars,high,Binoculars,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Binoculars-7a1f6e353c.svg
24613,boot,PASS,Car trunk open with contents empty inside.,boot,high,boot,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/boot.png
24657,french_fries,PASS,"A container filled with long, thin fried potato sticks.",french fries,high,French Fries,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/French-Fries_484_g.svg
25251,airport_terminal,PASS,A simple black silhouette of an airplane from above.,airport,high,Airport,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Airport-ae97c101bb.svg
25308,footprint,PASS,A large left human bare foot print,footprint,high,footprint,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/footprint.png
25375,social_network,FAIL,A central node connected to multiple outer nodes.,computer network,high,Network,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Network_656_g.svg
25906,lock,PASS,A gray rectangle with a yellow keyhole symbol.,lock,high,lock,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/lock.png
27009,article,UNCLEAR,A framed composition of black rectangles on white background.,text,high,article,noun_project,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/article_612_74762.svg
27030,courgette,FAIL,A green cucumber cut into slices.,cucumber,high,courgette,arasaac,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/courgette.png
