Word,Meaning1,Freq1,SE_freq1,Meaning2,Freq2,SE_freq2,B,SE_B,Adj_freq1,AmE_freq1,#subjects1,#subjects2
angle,the geometric figure made by two lines extending out from a single point,79.71,1.75,to fish with hook and line,19.25,1.61,0.72,0.03,79.71,79,0,8
arch,"a structural element, usually of masonry, that is curved and used to span an open space such as a door",90.58,1.33,mischievous or sly,9.12,1.61,0.89,0.02,90.58,91,0,34
bay,"a body of water partly surrounded by land, especially a recessed area along a shoreline; large cove",63.18,2.14,"an interior recess in a wall, often containing a window",33.32,2.02,0.50,0.03,63.18,82,0,2
bear,"a large, usually omnivorous, furry mammal with a short tail",30.72,1.84,"a large, usually omnivorous, furry mammal with a short tail",68.13,1.88,0.55,0.03,30.72,32,3,0
blow,"a quick, forcible hit by the fist or by a hard object",45.75,2.05,"to be in swift motion, as the air or wind",52.82,2.03,0.38,0.03,45.75,45,2,1
buffer,"a device, such as a bumper, that absorbs the force of a collision",38.47,2.35,something used to polish or shine,53.55,2.56,0.45,0.03,38.47,53,2,0
bush,a low plant having many woody branches; shrub,92.80,1.15,"a lining, usually of metal, that is used in machines to reduce friction",7.15,1.15,0.91,0.02,92.80,87,0,38
bust,a sculpture or other representation of the upper portion of the human body from the head to the shoulders or chest,55.08,2.41,to break or burst,44.93,2.41,0.51,0.03,55.08,34,2,1
calf,"the young of cattle or of other bovine mammals, and of some other large mammals such as seals or whales",47.57,1.80,the muscular back part of a human's leg below the knee,52.43,1.80,0.32,0.03,47.57,38,1,0
camp,an outdoor place where tents or temporary shelters are set up,66.32,1.86,"the style of something such as clothing, decoration, art, or the like that is considered amusing because of its consciously pretentious showiness or outlandishness",32.93,1.89,0.49,0.03,66.32,86,0,5
cape,"a sleeveless, loose-fitting garment that fastens at the neck and hangs loosely from the shoulders",77.02,1.98,a point of land jutting into a large body of water,22.98,1.98,0.72,0.02,77.02,72,0,10
card,"a small piece of thick paper, cardboard, or plastic printed with personal data such as name and address and used as identification",93.84,1.23,"a mechanical device used for combing cotton, wool, or the like in order to remove the shortest fibers prior to spinning",6.05,1.22,0.93,0.01,93.84,91,0,42
chord,a line segment connecting two points on a curve,16.68,2.06,three or more musical tones played at the same time,82.62,2.14,0.79,0.03,16.68,28,24,0
clock,"a mechanical or electric device, other than a watch, for measuring or indicating time",92.81,1.20,a small emblem embroidered or woven on the side of a sock or stocking,2.21,0.59,0.97,0.01,92.81,96,0,60
corn,a tall cereal plant that produces cylinder-shaped ears with rows of edible yellow or white seeds,79.91,1.39,"a small area of hard, calloused skin on the toe or foot",20.09,1.39,0.70,0.03,79.91,89,0,6
crash,(of a vehicle or moving object) to strike violently (against or through something),90.69,1.90,a coarsely woven fabric made of irregular or rough yarn,5.52,1.44,0.95,0.01,94.48,91,1,56
dam,a barrier built usually across a waterway to restrict flow and raise the water level,91.69,1.59,"a female parent, especially of a four-legged mammal",5.82,1.10,0.93,0.01,91.69,88,0,45
ear,the organ of hearing in man and vertebrate animals,85.78,2.20,the seed-bearing part of a plant such as corn,14.12,2.18,0.87,0.02,85.78,81,1,18
egg,a reproductive cell within the female; ovum,78.86,1.74,to incite or encourage to act (usually followed by on),21.14,1.74,0.70,0.03,78.86,85,0,4
fan,a hand-held device that opens out to form a triangular shape and that is used to cool the face or body by waving back and forth,45.87,1.21,an enthusiastic follower of an activity such as a sport or a performing art or of a person or persons who engage in that activity,54.13,1.21,0.21,0.03,45.87,45,1,0
fleet,a group of naval ships under one command or grouped for one purpose,75.74,2.08,swift and nimble,24.26,2.08,0.68,0.03,75.74,79,0,15
flight,an act of passing through air or space by flying,72.87,1.93,an act or instance of fleeing,27.08,1.93,0.59,0.03,72.87,83,0,3
flock,"a group of animals or birds of one kind keeping or kept together, such as geese or sheep",87.53,1.67,"a tuft, as of wool or other fiber",12.38,1.67,0.86,0.02,87.53,90,1,23
fly,to move through the air by means of wings,54.75,1.38,"any of a variety of small, winged insects, especially the common housefly",42.67,1.38,0.21,0.03,54.75,57,0,1
forge,a furnace or hearth where metal is heated to be worked or shaped,43.36,2.73,to move ahead gradually but with determination,52.45,2.86,0.52,0.04,47.55,67,5,4
fry,"to cook in hot butter, oil, or other fat",90.23,1.18,very young fish,9.76,1.14,0.87,0.02,90.23,88,0,25
gin,an alcoholic liquor made from grain distilled with juniper berries,92.23,1.44,a machine designed to remove the seeds from raw cotton; cotton gin,7.47,1.43,0.91,0.02,92.23,72,1,44
hide,to put or hold out of sight; keep from view; conceal,75.98,1.75,the skin of one of the larger animals such as a buffalo or cow,23.92,1.76,0.66,0.03,75.98,73,0,2
hiding,the act or condition of concealing or being concealed,74.38,1.92,"a thrashing, flogging, or severe beating",25.37,1.90,0.65,0.03,74.38,97,1,2
host,"a person who provides hospitality such as food, entertainment, or lodging for guests",81.69,1.79,a very large number of people or things,17.99,1.74,0.76,0.03,81.69,75,1,13
jam,to force or pack tightly into a small space,38.01,1.56,a sweet spread usually made by cooking crushed fruit and sugar,58.71,1.56,0.39,0.03,41.28,47,0,0
keen,extremely sharp; able to cut readily and finely,44.09,4.18,"a loud, mournful wailing for the dead",7.74,1.49,0.78,0.04,44.09,90,15,41
launch,to propel with force,87.06,1.49,a large open boat propelled by a motor,12.94,1.49,0.83,0.02,87.06,81,0,27
lawn,a stretch or plot of ground planted with grass or other low-growing ground covers and usually mowed short,90.35,2.00,"a fine, sheer, woven fabric, usually of cotton or linen",9.65,2.00,0.92,0.02,90.35,97,2,42
lean,to bend or incline,59.18,1.93,having little flesh,40.62,1.92,0.39,0.03,59.18,56,1,0
limp,"to walk in an uneven, labored, lame manner",53.88,1.90,"not stiff, rigid, or firm; floppy or flabby",46.12,1.90,0.32,0.03,53.88,52,1,2
