Age,Gender,Location
36,Male,Huddersfield
24,Female,Buckingham
23,Male,Canvey Island
26,Female,London
19,Male,Ascot
26,Male,Exeter
23,Female,Portsmouth
32,Male,Stevenage
35,Female,Gloucester
28,Female,London
22,Male,Bromley
33,Female,Ashbourne
31,Female,Batley
19,Male,Borehamwood
28,Female,Kingswinford
26,Male,Chorley
20,Male,Newcastle
21,Female,Dunmow
19,Male,Leeds
26,Female,Glasgow
19,Male,Darlington
23,Female,Seaham
23,Male,Glasgow
24,Female,London
29,Male,Belfast
31,Female,London
27,Male,Wrexham
31,Male,London
35,Female,Guildford
19,Male,Cambridge
27,Female,Swansea
33,Male,Southampton
25,Female,Ripon
36,Male,Oldham
22,Male,London
29,Female,Bristol
24,Male,Sheffield
25,Male,Virginia Water
22,Male,London
39,Male,Leicester
24,Female,Bristol
37,Female,Leicester
25,Male,London
29,Male,Aberdeen
38,Female,Crowborough
33,Male,Huddersfield
32,Female,Cowes
23,Male,Stockport
29,Male,London
26,Female,Portsmouth
25,Male,Seaham
31,Female,Pontefract
36,Female,Kilmarnock
29,Male,Glasgow
35,Male,Macclesfield
35,Male,Crewe
31,Male,Sheffield
30,Female,Royston
19,Female,Aberdeen
29,Female,Newcastle
33,Female,Wrexham
39,Female,Stroud
28,Female,Cantebury
27,Male,York
27,Female,Bournemouth
24,Female,London
30,Female,Kidlington
35,Female,London
22,Female,London
27,Female,Chelmsford
34,Female,Leighton Buzzard
25,Female,Ediburgh
27,Female,Bunbury
27,Male,Rochester
26,Female,London
39,Female,Stoke-on-trent
23,Female,Kingston upon Thames
35,Female,Reading
36,Female,Manchester
27,Female,Stevenage
22,Female,Cardiff
29,Male,Ely
34,Male,Torquay
30,Female,Norwich
24,Male,London
30,Female,Stockport
35,Male,Leicester
31,Female,Sheffield
36,Female,Clevedon
34,Male,Crewe
24,Female,London
26,Male,Northampton
23,Male,Pinner
27,Male,London
20,Male,London
31,Female,Manchester
30,Female,Derby
25,Female,Peterborough
27,Female,Doncaster
21,Male,Sheffield
