bci_index,word,verdict,image_url,match_name,match_set,clip_positive_label,clip_positive_score,clip_negative_label,clip_negative_score,clip_top_label,clip_top_score,is,isNot,visual,caption_result
12343,advance,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20go_3.png,to go 3,arasaac,person walking forward rightward arrow movement,0.458,return,0.051,person walking forward rightward arrow movement,0.458,go forward walk move travel arrow forward person walking direction,"stop, stay, come, return, go round, circle, orbit, retreat, arrive, money, toilet, loo, bathroom",person walking forward rightward arrow movement,
12355,aid,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/hearing%20aid.png,hearing aid,arasaac,communication assistive device mobility,0.52,medical,0.017,communication assistive device mobility,0.52,communication aid assistive device mobility aid hearing aid walking stick support tool accessibility disability equipment AAC device,"first aid, medical, kit, bandage, plaster, red cross, foreign aid, charity, donation, electronic, device, phone, computer, tablet, IUD, contraceptive, gadget, widget",wheelchair hearing aid walking stick assistive tool,
12357,airplane,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Airplane-0496ef43b2.svg,Airplane,noun_project,airplane,0.204,drone,0.38,drone,0.38,flying vehicle aircraft wings engine sky transport passengers,"bird, helicopter, drone, kite, rocket, woodworking, plane, flat, surface",wings fuselage tail fin flying sky windows,
12369,ambulance,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/ambulance.png,ambulance,arasaac,ambulance,0.516,police,0,ambulance,0.516,emergency medical vehicle hospital transport rescue van siren,"fire, engine, police, car, taxi, bus, van, truck, hearse",white van red cross star of life flashing lights siren,
12383,cat,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/cat.png,cat,arasaac,cat,0.672,lion,0.049,cat,0.672,domestic cat pet feline four-legged small furry whiskers purr,"caterpillar, dog, lion, tiger, kitten, wildcat, panther, leopard",small furry animal pointed ears whiskers tail four legs,
12403,apartment,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/apartment.png,apartment,arasaac,apartment,0.064,house,0.561,house,0.561,residential unit inside building rooms floor door number block,"house, cottage, bungalow, mansion, hotel, room, office, studio, shed, flat, surface",building window door number multi-storey balcony,
12405,apple,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/apple.png,apple,arasaac,apple,0.946,peach,0.006,apple,0.946,round fruit red green skin white flesh seeds stem,"tomato, cherry, ball, peach, plum, orange, technology, brand",round fruit stem leaf top red green,
12598,autumn,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/autumn_612_g.svg,autumn,noun_project,autumn,0.075,falling,0.5,falling,0.5,season after summer before winter leaves falling orange brown harvest,"spring, summer, winter, falling, down, waterfall, drop, trip, tumble",orange brown red leaves falling tree bare branches conkers,
12600,avocado,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/avocado.png,avocado,arasaac,avocado,0.776,pear,0.08,avocado,0.776,green pear-shaped fruit dark skin pale flesh large stone pit,"pear, mango, kiwi, egg, lime, green, pepper, guacamole",pear shape dark green cut half pale flesh round stone,
12603,baby,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/baby.png.varianted-skin.png,baby,arasaac,baby,0.52,child,0.138,baby,0.52,very young child infant newborn small human tiny nappy crawling,"pig, animal, toddler, child, adult, doll, toy, puppy, kitten, piglet",small person crawling nappy large head small body,
12605,baby_carriage,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Stroller-5ab0fd9387.svg,Stroller,noun_project,wheeled vehicle carrying baby,0.033,cart,0.406,cart,0.406,wheeled vehicle for carrying baby infant pushed by adult parent,"wheelchair, trolley, shopping, cart, wagon, car, seat, carrier, cot",four-wheeled frame hood handle baby seat canopy,
12622,balloon,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/balloon.png,balloon,arasaac,balloon,0.458,hot air balloon,0.533,hot air balloon,0.533,inflated rubber bag string party decoration floating colourful,"hot air balloon, speech bubble, globe, sphere, weather balloon, barrage balloon",inflated oval shape string hanging down colourful,
12626,bank,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Bank-3efc3488a8.svg,Bank,noun_project,bank,0.156,slope,0.501,slope,0.501,financial institution money building savings account deposit ATM,"river bank, shore, embankment, slope, blood bank, data bank, piggy bank, bank on it",building columns money symbol £ $ ATM,
12630,barn,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/stable.png,stable,arasaac,farm building storage animals,0.989,house,0,farm building storage animals,0.989,farm building storage animals hay stable shed agricultural wooden,"children, kids, child, house, school, nursery, Swedish, playground",large wooden building wide doors hay bales farm rural,
